geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.19078122966970287, y=0.5552532980705229, z=0.10630492165037392), rotation=geometry_msgs.msg.Quaternion(x=-0.02691488584496719, y=0.7270070268847336, z=0.04982694139731655, w=0.6842906163985891)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.171450190238581, y=0.6048439701337773, z=0.11318243299779102), rotation=geometry_msgs.msg.Quaternion(x=0.006267721592163549, y=0.7090520956229737, z=0.007861080342885015, w=0.7050844238632389)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.0457763671875, y=0.06103515625, z=-0.42724609375), torque=geometry_msgs.msg.Vector3(x=-0.07080078125, y=-0.0299072265625, z=0.00390625))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.19021156459703956, y=0.5570044873446511, z=0.019281932604967134), rotation=geometry_msgs.msg.Quaternion(x=-0.02687474365535159, y=0.7270157606256036, z=0.04984895217847694, w=0.6842813119778608)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17146486894885535, y=0.604839482201568, z=0.11316016048735089), rotation=geometry_msgs.msg.Quaternion(x=0.006241850199724036, y=0.7090547748074415, z=0.00783236610935424, w=0.7050822786526277)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.1373291015625, y=0.274658203125, z=-0.335693359375), torque=geometry_msgs.msg.Vector3(x=-0.0872802734375, y=-0.0408935546875, z=0.004150390625))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.18996622391869897, y=0.6141458105850464, z=0.020354927775377674), rotation=geometry_msgs.msg.Quaternion(x=-0.026928052131576286, y=0.7269960716901943, z=0.04982117489735447, w=0.6843021571552088)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17146788619503922, y=0.6048712329202374, z=0.11316481453416277), rotation=geometry_msgs.msg.Quaternion(x=0.006218585010842492, y=0.7090553705783501, z=0.007872918379292018, w=0.7050814334604583)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.091552734375, y=0.1678466796875, z=-0.42724609375), torque=geometry_msgs.msg.Vector3(x=-0.06317138671875, y=-0.05218505859375, z=0.00927734375))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.18975671335853317, y=0.6581070439914485, z=0.021257969017055123), rotation=geometry_msgs.msg.Quaternion(x=-0.026931543790365352, y=0.727001580372029, z=0.04980170248005484, w=0.6842975847653768)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17144727219349773, y=0.6048270680973437, z=0.11314571016465952), rotation=geometry_msgs.msg.Quaternion(x=0.006257693472320867, y=0.7090576000677327, z=0.007832951668868555, w=0.7050792905246522)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.274658203125, y=0.1068115234375, z=-0.396728515625), torque=geometry_msgs.msg.Vector3(x=-0.0543212890625, y=-0.064697265625, z=0.0078125))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.18975537925751543, y=0.6581058391206094, z=0.021253147073608147), rotation=geometry_msgs.msg.Quaternion(x=-0.0269133512145047, y=0.7269840491067985, z=0.04983519132826339, w=0.6843144873345619)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.1714598193464559, y=0.6048591672636902, z=0.11313485899992076), rotation=geometry_msgs.msg.Quaternion(x=0.006201202998331743, y=0.7090656152604068, z=0.007817603835844664, w=0.7050718994592111)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.1068115234375, y=0.030517578125, z=-0.396728515625), torque=geometry_msgs.msg.Vector3(x=-0.05279541015625, y=-0.05218505859375, z=0.008056640625))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.18971041965912783, y=0.6584594221443867, z=0.0038743142430603394), rotation=geometry_msgs.msg.Quaternion(x=-0.028716611817659478, y=0.686389785361928, z=0.047594006583536186, w=0.7251063572289562)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17145666259873726, y=0.6048436318182328, z=0.1131851126701886), rotation=geometry_msgs.msg.Quaternion(x=0.006279271647584292, y=0.7090466490997527, z=0.007868528510107211, w=0.7050897151477061)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.1220703125, y=0.18310546875, z=-0.3509521484375), torque=geometry_msgs.msg.Vector3(x=-0.067138671875, y=-0.05767822265625, z=0.005859375))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.1908878215587072, y=0.6579145694649664, z=0.03251144886463314), rotation=geometry_msgs.msg.Quaternion(x=-0.025645088330412985, y=0.7521024715435322, z=0.05117205746657965, w=0.6565558790211787)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17146590440287515, y=0.604843164744239, z=0.11313322352118932), rotation=geometry_msgs.msg.Quaternion(x=0.006240246459167078, y=0.7090648226437107, z=0.007841775419466854, w=0.7050720836706291)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.213623046875, y=-0.1220703125, z=-0.518798828125), torque=geometry_msgs.msg.Vector3(x=-0.02044677734375, y=-0.04486083984375, z=0.005859375))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.19323140047963544, y=0.6576986789679186, z=0.04553603098687725), rotation=geometry_msgs.msg.Quaternion(x=-0.024669902910492012, y=0.780109040756763, z=0.05208766103504071, w=0.6229832710337004)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17144884720896011, y=0.6048397022685272, z=0.11320166829581874), rotation=geometry_msgs.msg.Quaternion(x=0.006297289531985481, y=0.7090345840524627, z=0.007865162938839394, w=0.7051017245575614)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.1068115234375, y=-0.0152587890625, z=-0.48828125), torque=geometry_msgs.msg.Vector3(x=-0.0396728515625, y=-0.0390625, z=0.003662109375))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.19321112813289926, y=0.6656021057948311, z=0.048835777994891305), rotation=geometry_msgs.msg.Quaternion(x=-0.09739895161933744, y=0.780512816571337, z=-0.03833654786634286, w=0.6163144461141763)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17145587753369693, y=0.6048469298761118, z=0.11311771712837948), rotation=geometry_msgs.msg.Quaternion(x=0.006227749909204458, y=0.709077917284289, z=0.007815887429325366, w=0.7050593125791159)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.1068115234375, y=-0.030517578125, z=-0.4425048828125), torque=geometry_msgs.msg.Vector3(x=-0.0390625, y=-0.0341796875, z=0.00146484375))
geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=0.19320766941619144, y=0.6655892769778196, z=0.048849418714572435), rotation=geometry_msgs.msg.Quaternion(x=-0.09737850153314334, y=0.780519496221945, z=-0.03830119264262856, w=0.6163114164923064)), geometry_msgs.msg.Transform(translation=geometry_msgs.msg.Vector3(x=-0.17146560413687248, y=0.6048411585486029, z=0.11318669476205923), rotation=geometry_msgs.msg.Quaternion(x=0.0062678399179975, y=0.7090472363917111, z=0.007860311912435056, w=0.7050893179198494)), geometry_msgs.msg.Wrench(force=geometry_msgs.msg.Vector3(x=-0.06103515625, y=-0.030517578125, z=-0.42724609375), torque=geometry_msgs.msg.Vector3(x=-0.0390625, y=-0.03509521484375, z=0.001708984375))
